Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1964,1964,tonnes,6400,*,Unofficial figure
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1965,1965,tonnes,8000,*,Unofficial figure
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1966,1966,tonnes,9500,*,Unofficial figure
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1967,1967,tonnes,15500,*,Unofficial figure
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1968,1968,tonnes,37000,*,Unofficial figure
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1969,1969,tonnes,36000,*,Unofficial figure
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1970,1970,tonnes,44100,,Official data
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1971,1971,tonnes,53800,,Official data
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1972,1972,tonnes,55600,*,Unofficial figure
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1973,1973,tonnes,58100,*,Unofficial figure
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1974,1974,tonnes,63900,*,Unofficial figure
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1975,1975,tonnes,62500,*,Unofficial figure
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1976,1976,tonnes,72000,*,Unofficial figure
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1977,1977,tonnes,78700,*,Unofficial figure
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1978,1978,tonnes,99900,,Official data
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1979,1979,tonnes,98100,,Official data
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1980,1980,tonnes,93700,,Official data
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1981,1981,tonnes,81400,*,Unofficial figure
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1982,1982,tonnes,106000,,Official data
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1983,1983,tonnes,102700,*,Unofficial figure
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1984,1984,tonnes,94000,*,Unofficial figure
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1985,1985,tonnes,94100,*,Unofficial figure
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1986,1986,tonnes,96300,*,Unofficial figure
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1987,1987,tonnes,95000,,Official data
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1988,1988,tonnes,96500,,Official data
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1989,1989,tonnes,106500,,Official data
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1990,1990,tonnes,102000,,Official data
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1991,1991,tonnes,31300,*,Unofficial figure
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1992,1992,tonnes,23500,,Official data
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1993,1993,tonnes,17890,,Official data
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1994,1994,tonnes,14770,,Official data
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1995,1995,tonnes,11000,,Official data
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1996,1996,tonnes,6500,,Official data
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1997,1997,tonnes,5200,,Official data
RA,Fertilizers archive,3,Albania,5157,Consumption,1818,Total Fertilizers,1998,1998,tonnes,25000,,Official data
